id;id_loja;departamento;setor;sistema_entrega;classe;nome_produto;data_ult_entr;estoque
7077;4;FRENTE DE CAIXA;ALIMENTOS;cross_docking;E;CHOC NESTLE SENSACAO MORANGO 38G;25/11/2023;0.0
7077;99;FRENTE DE CAIXA;ALIMENTOS;supplier;E;CHOC NESTLE SENSACAO MORANGO 38G;23/11/2023;0.0
7082;3;MERCEARIA ALIMENTOS;SEMI PREPARADOS;cross_docking;E;SOPA MAGGI CEBOLA 68G;01/04/2024;12.0
7082;99;MERCEARIA ALIMENTOS;SEMI PREPARADOS;supplier;E;SOPA MAGGI CEBOLA 68G;19/01/2024;0.0
7084;10;MERCEARIA ALIMENTOS;SEMI PREPARADOS;cross_docking;E;CANJAO 200G MAGGI;;0.0
7096;1;MERCEARIA NAO ALIMENTOS;PRODUTOS DE LIMPEZA;cross_docking;E;LUSTRA M LAVANDA 200ML POLIFLOR;27/11/2023;9.0
7096;10;MERCEARIA NAO ALIMENTOS;PRODUTOS DE LIMPEZA;cross_docking;E;LUSTRA M LAVANDA 200ML POLIFLOR;;0.0
7096;2;MERCEARIA NAO ALIMENTOS;PRODUTOS DE LIMPEZA;cross_docking;E;LUSTRA M LAVANDA 200ML POLIFLOR;09/01/2024;8.0
7096;7;MERCEARIA NAO ALIMENTOS;PRODUTOS DE LIMPEZA;cross_docking;E;LUSTRA M LAVANDA 200ML POLIFLOR;16/02/2024;0.0
7096;99;MERCEARIA NAO ALIMENTOS;PRODUTOS DE LIMPEZA;supplier;E;LUSTRA M LAVANDA 200ML POLIFLOR;14/02/2024;0.0
7102;1;PERFUMARIA;PRODUTOS PARA PELE;cross_docking;E;HIDRAT NIVEA MILK EXTRA SECA 200ML;26/02/2024;3.0
7102;2;PERFUMARIA;PRODUTOS PARA PELE;cross_docking;E;HIDRAT NIVEA MILK EXTRA SECA 200ML;24/02/2024;3.0
7102;3;PERFUMARIA;PRODUTOS PARA PELE;cross_docking;E;HIDRAT NIVEA MILK EXTRA SECA 200ML;26/02/2024;4.0
7102;9;PERFUMARIA;PRODUTOS PARA PELE;cross_docking;E;HIDRAT NIVEA MILK EXTRA SECA 200ML;01/02/2024;0.0
